ticker,name,therapeutic_area,lead_asset,development_stage,market_cap,ma_score,rank,deal_probability_12mo,top_acquirer,estimated_deal_value
REPL,Replimune Group,oncology_adc,RP1,Phase 3,1150000000,69.15,1,0.49575,"Daiichi Sankyo (95% fit, 38% probability)",$1.50B - $2.07B (base: $1.73B)
PRAX,Praxis Precision Medicines,cns_neuropsychiatry,Ulixacaltamide,Phase 3,1280000000,68.0,2,0.59,"AbbVie (90% fit, 36% probability)",$1.66B - $2.30B (base: $1.92B)
RLAY,Relay Therapeutics,oncology_adc,RLY-2608,Phase 2,1850000000,67.30000000000001,3,0.5865,"Daiichi Sankyo (95% fit, 38% probability)",$2.40B - $3.33B (base: $2.77B)
ANNX,Annexon Biosciences,autoimmune,ANX005,Phase 3,890000000,67.25,4,0.5862499999999999,"Johnson & Johnson (90% fit, 36% probability)",$1.16B - $1.60B (base: $1.33B)
AURA,Aura Biosciences,radiopharmaceuticals,AU-011,Phase 3,725000000,66.8,5,0.484,"Novartis (90% fit, 36% probability)",$0.94B - $1.30B (base: $1.09B)
IGMS,IGM Biosciences,oncology_adc,Imvotamab,Phase 2,680000000,66.75,6,0.6337499999999999,"Daiichi Sankyo (95% fit, 38% probability)",$0.88B - $1.22B (base: $1.02B)
FUSN,Fusion Pharmaceuticals,radiopharmaceuticals,FPI-1434,Phase 2,850000000,66.3,7,0.48149999999999993,"Novartis (90% fit, 36% probability)",$1.10B - $1.53B (base: $1.27B)
TBPH,Theratechnologies,rare_disease,Tesamorelin,Phase 3,580000000,66.0,8,0.63,"Sanofi (85% fit, 34% probability)",$0.75B - $1.04B (base: $0.87B)
XNCR,Xencor,autoimmune,Plamotamab,Phase 2,1450000000,64.80000000000001,9,0.37400000000000005,"Johnson & Johnson (90% fit, 36% probability)",$1.89B - $2.61B (base: $2.17B)
ELEV,Elevation Oncology,oncology_adc,Seribantumab,Phase 2,620000000,64.75,10,0.47375,"Daiichi Sankyo (95% fit, 38% probability)",$0.81B - $1.12B (base: $0.93B)
SAGE,Sage Therapeutics,cns_neuropsychiatry,Zuranolone,Approved,1650000000,64.5,11,0.7225,"AbbVie (90% fit, 36% probability)",$2.15B - $2.97B (base: $2.48B)
GPCR,Structure Therapeutics,obesity_glp1,GSBR-1290,Phase 2,3200000000,64.2,12,0.371,"Novo Nordisk (95% fit, 38% probability)",$4.16B - $5.76B (base: $4.80B)
ALT,Altimmune,obesity_glp1,Pemvidutide,Phase 2,950000000,64.15,13,0.47075,"Novo Nordisk (95% fit, 38% probability)",$1.24B - $1.71B (base: $1.43B)
IMCR,Immunocore Holdings,immunology,Kimmtrak,Approved,2350000000,60.9,14,0.3545,"Pfizer (70% fit, 28% probability)",$3.06B - $4.23B (base: $3.52B)
RVMD,Revolution Medicines,oncology_adc,RMC-6236,Phase 2,7200000000,60.5,15,0.3025,"Daiichi Sankyo (95% fit, 38% probability)",$9.36B - $12.96B (base: $10.80B)
VKTX,Viking Therapeutics,obesity_glp1,VK2735,Phase 2,6800000000,58.8,16,0.294,"Novo Nordisk (95% fit, 38% probability)",$8.84B - $12.24B (base: $10.20B)
KRYS,Krystal Biotech,rare_disease,Vyjuvek,Approved,4800000000,57.55,17,0.28775,"Sanofi (85% fit, 34% probability)",$6.24B - $8.64B (base: $7.20B)
